player,fname,lname,conference,college,games,years,receptions,rec_yards,rec_td,team_games,team_rec,team_rec_yards,team_td,share_yards,share_tds,games_missed,height,weight,dob,speed_score,year,nfl_yards_game
AH-3862,Adam,Humphries,821,Clemson,43,4,122,1069,3,49,1294,16300,140,0.06558282208588957,0.02142857142857143,6,71,190,1993-01-24,90.23827579889748,1993,33.9231
AH-3900,Allen,Hurns,821,Miami (FL),32,3,121,1891,14,36,726,9983,69,0.18942201742963038,0.2028985507246377,4,73,198,1991-11-12,93.21198883893129,1991,52
AJ-0430,Alshon,Jeffery,911,South Carolina,38,3,183,3042,23,37,687,8638,60,0.35216485297522576,0.38333333333333336,-1,75,216,1990-02-14,107.24367573081524,1990,72.2063
AJ-0460,A.J.,Jenkins,827,Illinois,43,4,167,2432,19,48,798,9919,69,0.24518600665389656,0.2753623188405797,5,72,192,1989-09-30,105.29444904683662,1989,15.625
AJ-0500,Adam,Jennings,5486,Fresno State,35,3,55,676,8,36,713,8208,69,0.08235867446393762,0.11594202898550725,1,69,181,1982-11-17,93.14867681269142,1982,1.8788
AM-2200,Anthony,Mix,911,Auburn,27,3,63,817,6,35,609,8175,55,0.0999388379204893,0.10909090909090909,8,77,235,1983-01-20,116.67714720713695,1983,39
AP-0900,Austin,Pettis,5486,Boise State,49,4,229,2838,39,49,1200,15312,142,0.1853448275862069,0.2746478873239437,0,75,209,1988-05-07,96.67560778935132,1988,24.0465
AR-1200,Aldrick,Robinson,823,SMU,42,4,181,3314,30,49,1109,13841,108,0.239433566938805,0.2777777777777778,7,70,184,1988-09-24,102.77578222049141,1988,23.641
AR-1250,Allen,Robinson,827,Penn State,27,3,177,2474,17,36,694,8699,55,0.284400505805265,0.3090909090909091,9,75,220,1993-08-24,100.8760053944435,1993,67.4048
AS-0150,Ace,Sanders,911,South Carolina,35,3,99,1231,13,37,668,8793,71,0.13999772546343683,0.18309859154929578,2,67,173,1991-11-11,82.16432480636455,1991,19.963
AT-1300,Andrew,Turzilli,25354,Kansas,14,3,27,491,2,36,493,5507,31,0.08915925186126748,0.06451612903225806,22,75,195,1991-10-13,93.43527491990505,1991,25
AT-1300,Andrew,Turzilli,823,Rutgers,7,1,9,313,3,12,199,2962,22,0.10567184334908845,0.13636363636363635,5,75,195,1991-10-13,93.43527491990505,1991,25
BB-0600,Brandon,Banks,25354,Kansas State,24,2,123,1754,10,24,425,5268,29,0.332953682611997,0.3448275862068966,0,67,150,1987-12-21,82.2612883178411,1987,0.8537
BB-1900,Bernard,Berrian,5486,Fresno State,14,1,63,668,4,13,267,2690,15,0.2483271375464684,0.26666666666666666,-1,73,190,1980-12-27,86.36179980930376,1980,41.3333
BB-2050,Brenton,Bersin,912,Wofford,39,4,86,1838,19,47,220,3829,36,0.48002089318359886,0.5277777777777778,8,75,211,1990-05-09,88.72477949809313,1990,12.6667
BB-4100,Brice,Butler,5486,San Diego State,11,1,24,347,4,12,182,2292,21,0.15139616055846422,0.19047619047619047,1,75,205,1990-01-29,112.42376070104952,1990,20.4762
BB-4100,Brice,Butler,905,USC,25,3,41,554,3,37,817,9584,83,0.057804674457429046,0.03614457831325301,12,75,205,1990-01-29,112.42376070104952,1990,20.4762
BC-1400,Brian,Clark,821,North Carolina State,26,3,76,1296,11,34,731,9093,61,0.14252721873968988,0.18032786885245902,8,74,204,1983-12-26,91.91987412133952,1983,4
BC-1850,Brandon,Coleman,823,Rutgers,34,3,94,1808,20,36,730,9095,67,0.19879054425508522,0.29850746268656714,2,78,225,1992-06-22,107.80993259989044,1992,25.3448
BC-2325,Brandin,Cooks,905,Oregon State,38,3,226,3272,24,36,1077,12631,82,0.25904520623861926,0.2926829268292683,-2,70,189,1993-09-25,109.54251789231724,1993,69.7805
BD-0300,Britt,Davis,875,Northern Illinois,29,3,104,1235,5,36,613,7162,43,0.17243786651773246,0.11627906976744186,7,75,205,1986-04-23,99.98475842097241,1986,0
BE-0100,Biren,Ealy,823,Houston,14,1,34,420,6,13,300,3889,30,0.10799691437387503,0.2,-1,75,207,1984-07-07,99.18513799189921,1984,5.75
BE-0100,Biren,Ealy,905,Arizona,14,2,49,720,5,23,349,4084,24,0.1762977473065622,0.20833333333333334,9,75,207,1984-07-07,99.18513799189921,1984,5.75
BE-0150,Ben,Edwards,837,Richmond,20,2,124,1361,9,22,530,5810,35,0.2342512908777969,0.2571428571428571,2,71,198,1992-04-11,91.58741790570124,1992,9
BE-0200,Braylon,Edwards,827,Michigan,25,2,182,2468,29,23,532,6317,51,0.390691784074719,0.5686274509803921,-2,75,215,1983-02-21,109.65499303730637,1983,51.2456
BE-0350,Bruce,Ellington,911,South Carolina,34,3,106,1586,16,36,678,9076,82,0.1747465843984134,0.1951219512195122,2,69,197,1991-08-22,100.4745750155784,1991,8.2692
BF-0950,Bennie,Fowler,827,Michigan State,32,4,93,1341,11,50,1047,12655,88,0.10596602133544054,0.125,18,73,217,1991-06-10,106.78355262967675,1991,14.7308
BG-0600,Brandon,Gibson,905,Washington State,41,4,182,2756,17,48,977,11926,80,0.23109173234948852,0.2125,7,72,210,1987-08-13,95.45251557870415,1987,37.137
BH-0800,Brian,Hartline,827,Ohio State,35,3,90,1429,12,36,594,7340,74,0.19468664850136239,0.16216216216216217,1,74,199,1986-11-22,95.3518959439031,1986,46.8333
BJ-2200,Brandon,Jones,25354,Oklahoma,26,2,73,1054,11,25,567,7410,79,0.14224021592442646,0.13924050632911392,-1,73,208,1982-10-06,108.99441712611402,1982,24.807
BJ-2200,Brandon,Jones,875,Bowling Green,9,4,9,90,1,47,1103,13435,113,0.006698920729438035,0.008849557522123894,38,73,208,1982-10-06,108.99441712611402,1982,24.807
BL-0100,Brandon,LaFell,911,LSU,45,4,175,2517,25,49,905,11407,99,0.2206539843955466,0.25252525252525254,4,74,211,1986-11-04,95.90705136717418,1986,46.8654
BL-1400,Brandon,London,875,Massachusetts,35,3,144,1994,15,37,633,8292,61,0.24047274481427883,0.2459016393442623,2,76,210,1984-10-16,100.62260375989774,1984,8.5
BM-0250,Bradley,Marquez,25354,Texas Tech,41,4,155,1867,17,48,1641,18518,154,0.10082082298304353,0.11038961038961038,7,71,204,1992-12-14,96.03659456132314,1992,7.3529
BM-0300,Brandon,Marshall,823,Central Florida,25,3,110,1656,13,35,659,7720,50,0.21450777202072538,0.26,10,76,230,1984-03-23,110.20570887988801,1984,74.4074
BM-2100,Brandon,Middleton,823,Houston,13,1,55,1250,14,12,223,3156,26,0.3960709759188847,0.5384615384615384,-1,71,190,1981-01-02,79.89435120681372,1981,7.75
BO-0100,Ben,Obomanu,911,Auburn,32,3,80,1089,15,35,609,8175,55,0.13321100917431192,0.2727272727272727,3,73,204,1983-10-30,104.04473757958372,1983,23.5763
BP-0450,Breshad,Perriman,823,Central Florida,35,3,106,2105,16,37,779,10208,80,0.20621081504702193,0.2,2,74,212,1993-09-10,128.74413692945404,1993,33.2667
BQ-0050,Brian,Quick,912,Appalachian State,46,4,202,3418,31,53,959,12493,85,0.27359321219883137,0.36470588235294116,7,75,220,1989-06-05,107.3007163542143,1989,24.9833
BR-0900,Brian,Robiskie,827,Ohio State,39,4,127,1866,24,47,790,10048,92,0.18570859872611464,0.2608695652173913,8,75,209,1987-12-03,105.64205650925145,1987,17.3214
BS-4600,Brett,Swain,5486,San Diego State,32,3,120,1789,8,36,690,7868,44,0.2273767158108795,0.18181818181818182,4,73,200,1985-06-21,87.0434361977705,1985,7.9091
BT-0300,Brandon,Tate,821,North Carolina,41,4,46,927,8,47,754,9817,56,0.0944280330039727,0.14285714285714285,6,73,195,1987-10-05,93.43527491990505,1987,8.7009
BT-0300,Brandon,Tate,916,Alcorn State,1,1,1,16,0,10,167,1961,12,0.00815910249872514,0,9,73,195,1987-10-05,93.43527491990505,1987,8.7009
BT-1300,Brian,Tyms,876,Florida A&M,14,2,45,661,4,22,320,4078,23,0.1620892594409024,0.17391304347826086,8,75,210,1989-02-21,102.42341106538638,1989,10.4444
BW-1300,Blair,White,827,Michigan State,26,3,116,1674,10,36,697,9122,60,0.18351238763429073,0.16666666666666666,10,74,205,1987-02-20,100.87847137826606,1987,20.45
BW-2000,Brandon,Williams,827,Wisconsin,38,3,150,2261,7,35,555,7808,49,0.2895747950819672,0.14285714285714285,-3,70,175,1984-02-24,86.8872372819105,1984,0
BW-2000,Brandon,Williams,875,Akron,7,1,11,78,0,12,201,2206,15,0.03535811423390753,0,5,70,175,1984-02-24,86.8872372819105,1984,0
CB-1130,Cole,Beasley,823,SMU,46,4,255,2959,14,49,1140,14391,99,0.2056146202487666,0.1414141414141414,3,68,177,1989-04-26,87.09994845830776,1989,33.7917
CC-3950,Chris,Conley,911,Georgia,41,4,113,1858,19,50,1044,14491,130,0.12821751431923262,0.14615384615384616,9,74,213,1992-10-25,121.18755225569738,1992,28.2143
CD-0850,Chris,Davis,821,Florida State,47,4,137,1842,12,47,1006,12756,77,0.14440263405456255,0.15584415584415584,0,70,181,1984-01-23,88.2792257277854,1984,4.8824
CD-0850,Chris,Davis,821,Wake Forest,25,3,57,668,4,34,448,5189,21,0.12873386008864907,0.19047619047619047,9,70,181,1984-01-23,88.2792257277854,1984,4.8824
CD-1000,Craig,Davis,911,LSU,38,4,141,2117,7,48,895,11862,101,0.17846906086663294,0.06930693069306931,10,73,200,1985-10-02,105.75615031698236,1985,21.5185
CF-0900,Chris,Francies,24312,Texas-El Paso,35,3,101,1675,11,35,705,9204,71,0.18198609300304217,0.15492957746478872,0,73,193,1982-07-26,91.6630906799327,1982,4
CF-1100,Carlos,Francis,25354,Texas Tech,13,1,75,1177,9,12,507,6211,53,0.1895024955723716,0.16981132075471697,-1,70,190,1981-01-03,108.10157243465963,1981,0
CF-1550,Corey,Fuller,821,Virginia Tech,14,2,45,834,6,25,467,6176,39,0.13503886010362695,0.15384615384615385,11,74,204,1990-06-23,117.14538278943473,1990,15.7
CG-1060,Chris,Givens,821,Wake Forest,35,3,163,2473,21,36,717,8287,57,0.29841921081211537,0.3684210526315789,1,71,198,1989-12-06,110.59567869378967,1989,32.9444
CG-1060,Chris,Givens,875,Miami (OH),33,4,132,1691,13,49,1208,13058,68,0.12949915760453362,0.19117647058823528,16,71,198,1989-12-06,110.59567869378967,1989,32.9444
CH-0400,Chad,Hall,5486,Air Force,25,2,61,641,2,24,214,2773,21,0.23115759105661737,0.09523809523809523,-1,68,180,1986-05-23,83.26128900518296,1986,7.75
CH-0600,Cobi,Hamilton,911,Arkansas,46,4,175,2854,18,48,1119,15729,117,0.1814482802466781,0.15384615384615385,2,74,212,1990-11-13,103.39887212315196,1990,19
CH-1290,Chris,Harper,25354,Kansas State,26,2,98,1404,8,24,371,4683,29,0.29980781550288277,0.27586206896551724,-2,71,185,1993-12-07,87.86358433050543,1993,12.6364
CH-1290,Chris,Harper,905,California,34,3,163,2030,13,36,910,10657,72,0.1904851271464765,0.18055555555555555,2,71,185,1993-12-07,87.86358433050543,1993,12.6364
CH-2800,Chris,Henry,24312,Middle Tennessee,21,3,86,852,0,34,715,7855,42,0.10846594525779758,0,13,76,197,1983-05-17,96.08291418991007,1983,35.037
CH-2800,Chris,Henry,25354,West Virginia,22,2,93,1878,22,23,278,4027,39,0.46635212316861185,0.5641025641025641,1,76,197,1983-05-17,96.08291418991007,1983,35.037
CH-3350,Chris,Hogan,846,Monmouth,9,1,12,147,3,11,204,2355,12,0.062420382165605096,0.25,2,73,215,1988-10-24,104.86206370980034,1988,38.7843
CH-3700,Carlyle,Holiday,99001,Notre Dame,18,2,5,38,0,23,390,4766,27,0.007973143096936634,0,5,74,217,1981-10-04,101.26145022525061,1981,18
CJ-0100,Chad,Jackson,911,Florida,26,3,120,1586,16,34,728,9164,69,0.17306852902662592,0.2318840579710145,8,73,205,1985-03-06,117.71962486193196,1985,9.5
CJ-1100,Calvin,Johnson,821,Georgia Tech,38,3,178,2927,28,35,540,6928,54,0.42248845265588914,0.5185185185185185,-3,77,236,1985-09-29,131.82111197845637,1985,86.9708
CL-0275,Cody,Latimer,827,Indiana,32,3,135,2042,17,36,821,9830,70,0.20773143438453714,0.24285714285714285,4,75,215,1992-10-10,109.65499303730637,1992,8.2174
CM-0850,Chris,Matthews,911,Kentucky,25,2,93,1279,12,24,478,5327,39,0.2400976159189037,0.3076923076923077,-1,77,218,1989-10-06,99.95895079994857,1989,20
CM-1700,Chris,McFoy,905,USC,27,4,57,649,2,48,1142,14924,135,0.04348700080407397,0.014814814814814815,21,74,200,1983-08-14,90.11752364837207,1983,9.5
CM-2245,Cameron,Meredith,853,Illinois State,2,2,0,0,0,24,485,5637,45,0,0,22,75,200,1992-09-21,98.41802085684493,1992,50.4
CM-2500,Carlton,Mitchell,823,South Florida,33,3,105,1648,9,36,676,8658,57,0.19034419034419034,0.15789473684210525,3,76,212,1988-04-06,107.15844966488665,1988,7.75
CO-1100,Chad,Owens,5486,Hawaii,24,2,187,2424,26,25,815,9791,80,0.2475743029312634,0.325,1,67,183,1982-04-03,80.33655108455835,1982,0
CO-1300,Chris,Owusu,905,Stanford,32,4,102,1534,10,48,901,11550,95,0.1328138528138528,0.10526315789473684,16,72,200,1990-01-06,115.91800835165846,1990,17.4118
CP-0750,Cordarrelle,Patterson,911,Tennessee,12,1,46,778,5,12,285,3814,35,0.20398531725222863,0.14285714285714285,0,74,216,1991-03-17,122.89441918887621,1991,20.8889
CR-1200,Courtney,Roby,827,Indiana,22,2,100,1314,7,23,336,4047,17,0.32468495181616014,0.4117647058823529,1,72,189,1983-01-10,99.93956204954833,1983,5.4444
CS-0600,Chaz,Schilens,5486,San Diego State,29,3,103,1603,7,36,690,7868,44,0.20373665480427047,0.1590909090909091,7,76,225,1985-11-07,122.26891877642079,1985,24.8125
CS-4200,Chansi,Stuckey,821,Clemson,31,3,137,1741,7,34,622,7349,39,0.23690297999727855,0.1794871794871795,3,70,182,1983-10-04,84.18641443857388,1983,22.5957
CT-0300,Courtney,Taylor,911,Auburn,45,4,153,2098,9,47,780,10423,69,0.20128561834404682,0.13043478260869565,2,75,204,1984-04-07,99.49702789208962,1984,11.3333
CT-1400,Craphonso,Thorpe,821,Florida State,22,2,91,1490,13,23,464,6031,37,0.247056872823744,0.35135135135135137,1,NA,NA,NA,NA,NA,14
CW-1500,Chastin,West,5486,Fresno State,21,2,48,686,3,24,415,5285,39,0.12980132450331125,0.07692307692307693,3,73,216,1987-05-01,97.32692554024185,1987,18.1111
CW-2750,Chris,Williams,818,Troy,5,1,8,127,0,12,337,3984,22,0.03187751004016064,0,7,67,175,1987-09-16,98.65273417725923,1987,0
CW-2750,Chris,Williams,916,Mississippi Valley State,27,3,96,1101,6,32,425,5472,34,0.2012061403508772,0.17647058823529413,5,67,175,1987-09-16,98.65273417725923,1987,0
CW-4050,Chandler,Worthy,818,Troy,43,4,136,1762,11,48,1233,13773,83,0.12793146010310028,0.13253012048192772,5,69,170,1993-09-15,91.54209263055986,1993,4.6667
DA-0212,Davante,Adams,5486,Fresno State,26,2,233,3031,38,24,845,9593,90,0.31595955384134267,0.4222222222222222,-2,73,212,1992-12-24,98.06329593943771,1992,46.5102
DA-0500,Danario,Alexander,911,Missouri,41,4,191,2778,22,50,1364,16341,130,0.17000183587295759,0.16923076923076924,9,77,221,1986-08-07,97.01845786714424,1986,49.8214
DA-0900,Danny,Amendola,25354,Texas Tech,49,4,204,2246,15,46,1799,20385,158,0.11017905322541084,0.0949367088607595,-3,70,186,1985-11-02,77.54602263388095,1985,36.3714
DA-1100,David,Anderson,5486,Colorado State,35,3,215,3454,19,34,674,9538,62,0.36213042566575804,0.3064516129032258,-1,70,195,1983-07-28,89.41282296325674,1983,19.3
DA-1700,Devin,Aromashodu,911,Auburn,29,3,53,1029,8,35,609,8175,55,0.1258715596330275,0.14545454545454545,6,74,201,1984-05-23,112.27137079521073,1984,24.6122
DA-2100,Donnie,Avery,823,Houston,49,4,210,3289,19,47,1044,13540,84,0.2429098966026588,0.2261904761904762,-2,71,200,1984-06-12,103.85922712367172,1984,40.4384
DB-0300,Dallas,Baker,911,Florida,36,3,138,2027,20,35,739,9279,78,0.21845026403707296,0.2564102564102564,-1,75,206,1982-11-10,97.837288497752,1982,6
DB-0500,Doug,Baldwin,905,Stanford,37,4,96,1360,13,48,831,10463,69,0.12998184077224506,0.18840579710144928,11,70,189,1988-09-21,93.00502970971846,1988,53.3585
DB-1800,Davone,Bess,5486,Hawaii,39,3,293,3610,41,37,1284,16517,150,0.21856269298298722,0.2733333333333333,-2,70,193,1985-09-13,83.27514210229035,1985,41.9891
DB-3200,Dwayne,Bowe,911,LSU,40,4,154,2403,26,48,895,11862,101,0.20257966616084977,0.25742574257425743,8,74,221,1984-09-21,106.83562667591538,1984,58.184
DB-4100,Dezmon,Briscoe,25354,Kansas,35,3,219,3240,31,36,956,11485,91,0.282107096212451,0.34065934065934067,1,74,207,1989-08-31,87.79235002271086,1989,26.4211
DB-5300,Dez,Bryant,25354,Oklahoma State,26,3,147,2425,29,36,636,8655,71,0.2801848642403235,0.4084507042253521,10,74,220,1988-11-04,105.41415631989288,1988,68.39
DB-6200,Deon,Butler,827,Penn State,49,4,179,2771,22,47,866,10958,73,0.25287461215550283,0.3013698630136986,-2,70,170,1986-01-04,98.53030709890969,1986,20.3667
DB-6375,Damiere,Byrd,911,South Carolina,38,4,65,1214,10,48,955,12738,110,0.09530538546082587,0.09090909090909091,10,69,162,1993-01-27,97.4615940106047,1993,16
DC-0200,Duke,Calhoun,823,Memphis,49,4,212,2981,19,48,1048,12161,87,0.24512786777403175,0.21839080459770116,-1,76,205,1987-09-01,100.87847137826606,1987,2
DC-1200,Drew,Carter,827,Ohio State,8,1,25,410,1,12,209,2694,20,0.15219005196733482,0.05,4,75,200,1981-09-05,110.69143922893693,1981,34.625
DC-2300,David,Clowney,821,Virginia Tech,34,3,88,1306,5,36,541,7281,55,0.17937096552671336,0.09090909090909091,2,73,190,1985-07-07,105.15686726749009,1985,16.2381
DD-0200,Devard,Darling,905,Washington State,12,1,50,830,7,12,261,3532,22,0.23499433748584372,0.3181818181818182,0,73,213,1982-04-16,102.06006952789629,1982,19.2667
DF-2200,Devin,Funchess,827,Michigan,34,3,126,1715,15,36,621,8052,51,0.21299056135121708,0.29411764705882354,2,76,232,1994-05-21,113.1534827008078,1994,27.7879
DG-0700,David,Gettis,25354,Baylor,36,4,116,1555,4,48,1054,11679,76,0.13314496104118503,0.05263157894736842,12,75,217,1987-08-27,112.6872614291838,1987,33.8667
DG-1150,David,Gilreath,827,Wisconsin,50,4,67,1077,4,48,799,10515,61,0.10242510699001427,0.06557377049180328,-2,71,169,1988-12-11,88.55796391496764,1988,0
DG-2650,Dorial,Green-Beckham,911,Missouri,24,2,87,1278,17,25,513,6380,47,0.20031347962382445,0.3617021276595745,1,77,237,1993-04-12,123.07318414155098,1993,33.6071
DH-0100,D.J.,Hackett,905,Colorado,12,1,78,1013,7,12,283,3351,27,0.3022978215458072,0.25925925925925924,0,74,199,1981-07-03,94.51272044200314,1981,40.4524
DH-0300,Derek,Hagan,905,Arizona State,36,3,226,3534,27,34,850,11628,98,0.30392156862745096,0.2755102040816326,-2,73,215,1984-09-21,109.65499303730637,1984,23.7534
DH-1100,Derrick,Hamilton,821,Clemson,13,1,62,1026,10,12,300,3687,23,0.27827502034174123,0.43478260869565216,-1,76,200,1981-11-30,94.15352407972857,1981,0
DH-1800,Dwayne,Harris,24312,East Carolina,50,4,268,3001,20,50,1145,12843,90,0.23366814607179007,0.2222222222222222,0,70,200,1987-09-16,94.98765873568155,1987,9.7882
DH-2400,Devery,Henderson,911,LSU,14,1,53,861,11,13,255,3257,30,0.26435369972367206,0.36666666666666664,-1,71,200,1982-03-26,105.75615031698236,1982,38.4206
DH-2700,Devin,Hester,821,Miami (FL),29,3,10,196,0,34,647,8211,57,0.023870417732310314,0,5,71,190,1982-11-04,100.46834280113323,1982,20.3374
DH-2800,Darrius,Heyward-Bey,821,Maryland,37,3,138,2089,13,36,654,7711,40,0.2709116846064064,0.325,-1,74,210,1987-02-26,128.73409082745655,1987,30.1134
DH-3200,Domenik,Hixon,875,Akron,29,3,141,2092,14,35,797,10026,64,0.20865749052463595,0.21875,6,74,197,1984-10-08,97.81020425449353,1984,24.541
DH-3950,DeAndre,Hopkins,821,Clemson,38,3,205,3009,27,37,860,10709,90,0.28097861611728453,0.3,-1,73,214,1992-06-06,103.45169279930268,1992,69.7612
DI-0075,Dontrelle,Inman,821,Virginia,27,4,78,1098,3,48,970,10206,51,0.10758377425044091,0.058823529411764705,21,75,198,1989-01-31,96.57064471879286,1989,46.9032
DJ-0200,DeSean,Jackson,905,California,34,3,162,2423,22,35,678,8747,68,0.27700926031782325,0.3235294117647059,1,70,175,1986-12-01,97.74870591622825,1986,68.8346
DJ-0400,Dexter,Jackson,912,Appalachian State,50,4,110,1846,17,55,942,12701,96,0.14534288638689866,0.17708333333333334,5,70,180,1986-08-05,102.41201599073018,1986,0
DJ-0600,Dwayne,Jarrett,905,USC,38,3,216,3138,41,36,868,11133,96,0.28186472648881705,0.4270833333333333,-2,76,219,1986-09-11,96.14046277332392,1986,17.5
DJ-0850,Darius,Jennings,821,Virginia,49,4,133,1670,11,48,1057,11720,67,0.14249146757679182,0.16417910447761194,-1,71,175,1992-06-28,87.66736471177121,1992,39
DJ-0950,Damaris,Johnson,24312,Tulsa,39,3,188,2746,17,37,778,11102,104,0.2473428211133129,0.16346153846153846,-2,68,175,1989-11-22,82.3843335697625,1989,14.6585
DJ-1050,Darius,Johnson,823,SMU,41,4,232,2854,20,49,1145,14192,86,0.20109921082299886,0.23255813953488372,8,69,179,1991-02-22,85.01395456843498,1991,21
DL-1650,Dezmin,Lewis,914,Central Arkansas,23,2,83,1002,8,25,574,6869,66,0.1458727616829233,0.12121212121212122,2,76,214,1992-12-05,108.1693784353101,1992,0
DM-2775,Donte,Moncrief,911,Mississippi,36,3,156,2376,20,36,749,9051,58,0.26251242956579385,0.3448275862068966,0,74,221,1993-08-06,124.58431001813881,1993,37.381
DM-3100,Denarius,Moore,911,Tennessee,42,4,112,2004,18,49,957,11694,95,0.17136993329912775,0.18947368421052632,7,72,194,1988-12-09,100.74345030996156,1988,38.7321
DM-4080,Derek,Moye,827,Penn State,38,4,144,2395,18,48,884,11556,78,0.20725164416753203,0.23076923076923078,10,76,209,1988-08-12,105.64205650925145,1988,5
DN-0500,David,Nelson,911,Florida,22,4,46,630,7,51,956,12952,122,0.048641136504014824,0.05737704918032787,29,77,214,1986-11-07,100.74427076530958,1986,31.2245
DP-0350,DeVante,Parker,823,Louisville,38,4,148,2655,33,48,1135,14425,103,0.18405545927209704,0.32038834951456313,10,75,209,1993-01-20,111.52329075882791,1993,51.72
DP-1950,DeVier,Posey,827,Ohio State,35,4,136,1955,18,48,690,8863,84,0.2205799390725488,0.21428571428571427,13,74,210,1989-02-08,113.08140854363278,1989,17.7222
DR-0800,David,Reed,905,Utah,25,2,106,1615,11,24,524,6160,48,0.2621753246753247,0.22916666666666666,-1,72,190,1987-03-22,87.88691617213756,1987,2.9565
DR-1200,Darius,Reynaud,25354,West Virginia,38,3,133,1550,19,35,448,5526,43,0.2804922186029678,0.4418604651162791,-3,69,201,1984-12-29,99.79619824950863,1984,0.78
DR-1700,Dante,Ridgeway,875,Ball State,23,2,194,2474,18,23,450,5036,36,0.4912629070691025,0.5,0,71,206,1984-04-18,94.45662323297891,1984,26
DR-2850,Da'Rick,Rogers,902,Tennessee Tech,10,1,61,893,10,11,208,2666,27,0.33495873968492124,0.37037037037037035,1,74,217,1991-06-18,113.71052171330165,1991,39.6667
DR-2850,Da'Rick,Rogers,911,Tennessee,23,2,78,1210,11,24,461,6237,44,0.19400352733686066,0.25,1,74,217,1991-06-18,113.71052171330165,1991,39.6667
DS-0100,DeMarco,Sampson,5486,San Diego State,33,3,140,2182,17,36,761,9874,69,0.2209844034838971,0.2463768115942029,3,74,204,1985-12-19,107.871273323322,1985,7.2
DS-0600,Dane,Sanzenbacher,827,Ohio State,41,4,124,1879,19,48,775,9781,92,0.19210714650853697,0.20652173913043478,7,71,180,1988-10-13,83.26128900518296,1988,16.6296
DS-2325,DeAndre,Smelter,821,Georgia Tech,19,2,56,1060,11,25,203,3724,32,0.284640171858217,0.34375,6,74,226,1991-12-03,108.28908785588996,1991,23
DS-3031,Devin,Smith,827,Ohio State,44,4,118,2371,29,50,802,10649,117,0.22265001408582966,0.24786324786324787,6,72,196,1992-03-03,107.48808340197904,1992,16.875
DS-4750,Devin,Street,821,Pittsburgh,47,4,202,2901,16,48,1007,11989,70,0.24197180749019934,0.22857142857142856,1,75,198,1991-03-30,94.87274068790359,1991,8.4444
DT-0900,Demaryius,Thomas,821,Georgia Tech,36,3,120,2339,15,37,331,5477,26,0.42705860872740553,0.5769230769230769,1,NA,NA,NA,NA,NA,76.9
DT-1000,Devin,Thomas,827,Michigan State,16,2,85,1350,9,24,480,5578,39,0.24202223019003227,0.23076923076923078,8,74,215,1986-11-15,113.68786159075603,1986,11.4762
